Nr. SISF,Taxon ID,Rangstufe,Taxonname,Familie,Indigenat CH,Grenzgebiet,Ist Teil von: Taxonname,Ist Teil von: Nr. SISF,Ist Teil von: Taxon ID
100,1000000,sp,Abies alba Mill.,Pinaceae,I,,,,
130,1000010,sp,Abies nordmanniana (Steven) Spach,Pinaceae,NC,,,,
150,1000020,sp,Abutilon theophrasti Medik.,Malvaceae,N,,,,
160,1000030,sp,Acacia dealbata Link,Fabaceae,N,,,,
180,1000040,sp,Acalypha australis L.,Euphorbiaceae,N,,,,
200,1000050,sp,Acalypha virginica L.,Euphorbiaceae,N,,,,
250,1000060,sp,Acanthus mollis L.,Acanthaceae,NC,,,,
300,1000070,sp,Acer campestre L.,Sapindaceae,I,,,,
350,1000080,sp,Acer cappadocicum Gled.,Sapindaceae,NC,,,,
400,1000090,sp,Acer monspessulanum L.,Sapindaceae,NC,,,,
500,1000100,sp,Acer negundo L.,Sapindaceae,N,,,,
600,1000110,sp,Acer opalus Mill.,Sapindaceae,I,,,,
700,1000120,sp,Acer platanoides L.,Sapindaceae,I,,,,
800,1000130,sp,Acer pseudoplatanus L.,Sapindaceae,I,,,,
830,1000140,sp,Acer rubrum L.,Sapindaceae,NC,,,,
850,1000150,sp,Acer saccharinum L.,Sapindaceae,N,,,,
900,1000160,sp,Aceras anthropophorum (L.) W. T. Aiton,Orchidaceae,I,,,,
950,1000170,sp,Achillea ageratum L.,Asteraceae,N,,,,
1000,1000180,sp,Achillea atrata L.,Asteraceae,I,,,,
1100,1000190,sp,Achillea clavenae L.,Asteraceae,I,,,,
1200,1000210,sp,Achillea collina Rchb.,Asteraceae,I,,Achillea millefolium aggr.,1706,1000320
1250,1000220,sp,Achillea crithmifolia Waldst. & Kit.,Asteraceae,N,,,,
1300,1000250,sp,Achillea distans Willd.,Asteraceae,,x,Achillea millefolium aggr.,1706,1000320
1350,1000260,sp,Achillea erba-rotta All.,Asteraceae,I,,,,
1400,1000270,subsp,Achillea erba-rotta All. subsp. erba-rotta,Asteraceae,,x,Achillea erba-rotta All.,1350,1000260
1500,1000290,subsp,Achillea erba-rotta subsp. moschata (Wulfen) Vacc.,Asteraceae,I,,Achillea erba-rotta All.,1350,1000260
1550,1000300,sp,Achillea filipendulina Lam.,Asteraceae,N,,,,
1600,1000310,sp,Achillea macrophylla L.,Asteraceae,I,,,,
1706,1000320,aggr,Achillea millefolium aggr.,Asteraceae,I,,,,
1700,1000330,sp,Achillea millefolium L.,Asteraceae,I,,Achillea millefolium aggr.,1706,1000320
1701,1000340,subsp,Achillea millefolium L. subsp. millefolium,Asteraceae,I,,Achillea millefolium L.,1700,1000330
1702,1000350,subsp,Achillea millefolium subsp. sudetica (Opiz) J. Weiss,Asteraceae,I,,Achillea millefolium L.,1700,1000330
1900,1000360,sp,Achillea nana L.,Asteraceae,I,,,,
2000,1000370,sp,Achillea nobilis L.,Asteraceae,I,,,,
2050,1000375,subsp (single),Achillea nobilis L. subsp. nobilis,Asteraceae,I,,Achillea nobilis L.,2000,1000370
2100,1000380,sp,Achillea oxyloba (DC.) Sch. Bip.,Asteraceae,,x,,,
2150,1000390,sp,Achillea pratensis Saukel & R. Länger,Asteraceae,I,,Achillea millefolium aggr.,1706,1000320
2200,1000400,sp,Achillea ptarmica L.,Asteraceae,I,,,,
2300,1000410,sp,Achillea roseoalba Ehrend.,Asteraceae,I,,Achillea millefolium aggr.,1706,1000320
2400,1000420,sp,Achillea setacea Waldst. & Kit.,Asteraceae,I,,Achillea millefolium aggr.,1706,1000320
2500,1000430,sp,Achillea stricta Gremli,Asteraceae,I,,Achillea millefolium aggr.,1706,1000320
2600,1000440,sp,Achillea tomentosa L.,Asteraceae,I,,,,
2700,1000450,sp,Achnatherum calamagrostis (L.) P. Beauv.,Poaceae,I,,,,
2800,1000460,sp,Acinos alpinus (L.) Moench,Lamiaceae,I,,,,
2900,1000470,sp,Acinos arvensis (Lam.) Dandy,Lamiaceae,I,,,,
3100,1000500,sp,Aconitum anthora L.,Ranunculaceae,I,,,,
3510,1000543,sp,Aconitum lycoctonum L.,Ranunculaceae,I,,,,
3520,1000548,subsp,Aconitum lycoctonum subsp. neapolitanum (Ten.) Nyman,Ranunculaceae,I,,Aconitum lycoctonum L.,3510,1000543
3530,1000545,subsp,Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman,Ranunculaceae,I,,Aconitum lycoctonum L.,3510,1000543
3540,1000563,sp,Aconitum napellus L.,Ranunculaceae,I,,,,
3560,1000565,subsp,Aconitum napellus subsp. lusitanicum Rouy,Ranunculaceae,I,,Aconitum napellus L.,3540,1000563
3570,1000570,subsp,Aconitum napellus subsp. tauricum (Wulfen) Gáyer,Ranunculaceae,I,,Aconitum napellus L.,3540,1000563
3580,1000567,subsp,Aconitum napellus subsp. vulgare Rouy & Foucaud,Ranunculaceae,I,,Aconitum napellus L.,3540,1000563
4390,1000620,sp,Aconitum variegatum L.,Ranunculaceae,I,,,,
4400,1000630,subsp,Aconitum variegatum L. subsp. variegatum,Ranunculaceae,I,,Aconitum variegatum L.,4390,1000620
4600,1000660,subsp,Aconitum variegatum subsp. paniculatum (Arcang.) Negodi,Ranunculaceae,I,,Aconitum variegatum L.,4390,1000620
4700,1000670,subsp,Aconitum variegatum subsp. rostratum (DC.) Gáyer,Ranunculaceae,I,,Aconitum variegatum L.,4390,1000620
4800,1000680,subsp,Aconitum variegatum subsp. valesiacum (Gáyer) Greuter & Burdet,Ranunculaceae,I,,Aconitum variegatum L.,4390,1000620
5100,1000720,sp,Acorus calamus L.,Acoraceae,N,,,,
5200,1000730,sp,Actaea spicata L.,Ranunculaceae,I,,,,
5250,1000740,sp,Actinidia chinensis Planch.,Actinidiaceae,N,,,,
5300,1000760,sp,Adenophora liliifolia (L.) A. DC.,Campanulaceae,I,,,,
5400,1000770,sp,Adenostyles alliariae (Gouan) A. Kern.,Asteraceae,I,,,,
5450,1000780,sp,Adenostyles alpina (L.) Bluff & Fingerh.,Asteraceae,I,,,,
5600,1000800,sp,Adenostyles leucophylla (Willd.) Rchb.,Asteraceae,I,,,,
5700,1000810,sp,Adiantum capillus-veneris L.,Pteridaceae,I,,,,
5800,1000820,sp,Adonis aestivalis L.,Ranunculaceae,A,,,,
5900,1000850,sp,Adonis annua L.,Ranunculaceae,N,,,,
6100,1000860,sp,Adonis flammea Jacq.,Ranunculaceae,A,,,,
6200,1000870,sp,Adonis vernalis L.,Ranunculaceae,I,,,,
6300,1000880,sp,Adoxa moschatellina L.,Adoxaceae,I,,,,
6400,1000890,sp,Aegilops cylindrica Host,Poaceae,N,,,,
6440,1000892,aggr,Aegilops geniculata aggr.,Poaceae,N,,,,
6430,1000893,sp,Aegilops geniculata Roth,Poaceae,N,,Aegilops geniculata aggr.,6440,1000892
6460,1000896,sp,Aegilops neglecta Bertol.,Poaceae,N,,Aegilops geniculata aggr.,6440,1000892
6600,1000910,sp,Aegilops triuncialis L.,Poaceae,N,,,,
6700,1000920,sp,Aegilops ventricosa Tausch,Poaceae,N,,,,
6800,1000930,sp,Aegopodium podagraria L.,Apiaceae,I,,,,
6900,1000940,sp,Aesculus hippocastanum L.,Sapindaceae,N,,,,
7000,1000960,sp,Aethionema saxatile (L.) R. Br.,Brassicaceae,I,,,,
7050,1000965,subsp (single),Aethionema saxatile (L.) R. Br. subsp. saxatile,Brassicaceae,I,,Aethionema saxatile (L.) R. Br.,7000,1000960
7100,1000970,sp,Aethionema thomasianum J. Gay,Brassicaceae,,x,,,
7150,1000980,sp,Aethusa cynapioides M. Bieb.,Apiaceae,I,,,,
7200,1000990,sp,Aethusa cynapium L.,Apiaceae,I,,,,
7300,1001000,sp,Agave americana L.,Asparagaceae,N,,,,
7400,1001010,sp,Agrimonia eupatoria L.,Rosaceae,I,,,,
7600,1001020,sp,Agrimonia procera Wallr.,Rosaceae,I,,,,
7720,1001030,sp,Agropyron cristatum (L.) Gaertn.,Poaceae,N,,,,
7750,1001031,subsp,Agropyron cristatum (L.) Gaertn. subsp. cristatum,Poaceae,,x,Agropyron cristatum (L.) Gaertn.,7720,1001030
7770,1001035,subsp,Agropyron cristatum subsp. pectinatum (M. Bieb.) Tzvelev,Poaceae,N,,Agropyron cristatum (L.) Gaertn.,7720,1001030
8200,1001050,sp,Agrostemma githago L.,Caryophyllaceae,A,,,,
8400,1001060,sp,Agrostis alpina Scop.,Poaceae,I,,,,
8500,1001070,sp,Agrostis canina L.,Poaceae,I,,,,
8600,1001080,sp,Agrostis capillaris L.,Poaceae,I,,,,
8700,1001090,sp,Agrostis gigantea Roth,Poaceae,I,,,,
8900,1001100,sp,Agrostis rupestris All.,Poaceae,I,,,,
9000,1001110,sp,Agrostis schleicheri Jord. & Verl.,Poaceae,I,,,,
9100,1001120,sp,Agrostis schraderiana Bech.,Poaceae,I,,,,
9300,1001130,sp,Agrostis stolonifera L.,Poaceae,I,,,,
9450,1001140,sp,Agrostis vinealis Schreb.,Poaceae,I,,,,
9500,1001150,sp,Ailanthus altissima (Mill.) Swingle,Simaroubaceae,N,,,,
9700,1001160,sp,Aira caryophyllea L.,Poaceae,I,,,,
9730,1001165,subsp,Aira caryophyllea L. subsp. caryophyllea,Poaceae,I,,Aira caryophyllea L.,9700,1001160
9760,1001170,subsp,Aira caryophyllea subsp. plesiantha (Boreau) K. Richt.,Poaceae,I,,Aira caryophyllea L.,9700,1001160
9900,1001180,sp,Aira elegantissima Schur,Poaceae,I,,,,
10000,1001190,sp,Aira praecox L.,Poaceae,I,,,,
10100,1001200,sp,Ajuga chamaepitys (L.) Schreb.,Lamiaceae,I,,,,
10200,1001210,sp,Ajuga genevensis L.,Lamiaceae,I,,,,
10300,1001220,sp,Ajuga pyramidalis L.,Lamiaceae,I,,,,
10400,1001230,sp,Ajuga reptans L.,Lamiaceae,I,,,,
10450,1001240,sp,Akebia quinata (Houtt.) Decne.,Lardizabalaceae,N,,,,
10470,1001250,sp,Albizia julibrissin Durazz.,Fabaceae,N,,,,
10490,1001260,sp,Alcea biennis Winterl,Malvaceae,N,,,,
10500,1001270,sp,Alcea rosea L.,Malvaceae,N,,,,
10600,1001280,sp,Alchemilla acuminatidens Buser,Rosaceae,I,,Alchemilla glabra aggr.,15000,1001740
10790,1001300,sp,Alchemilla acutiloba Opiz,Rosaceae,I,,Alchemilla vulgaris aggr.,21100,1002440
10900,1001310,sp,Alchemilla aggregata Buser,Rosaceae,I,,Alchemilla coriacea aggr.,12500,1001470
10950,1001320,sp,Alchemilla alpigena Hegi,Rosaceae,I,,Alchemilla plicatula aggr.,18500,1002150
11200,1001340,aggr,Alchemilla alpina aggr.,Rosaceae,I,,Alchemilla alpina superaggr.,11100,1001330
10990,1001350,sp,Alchemilla alpina L.,Rosaceae,I,,Alchemilla alpina aggr.,11200,1001340
11100,1001330,superaggr,Alchemilla alpina superaggr.,Rosaceae,I,,,,
11300,1001360,sp,Alchemilla amphisericea Buser,Rosaceae,I,,Alchemilla plicatula aggr.,18500,1002150
11450,1001375,sp,Alchemilla argentidens Buser,Rosaceae,I,,Alchemilla alpina aggr.,11200,1001340
11600,1001380,sp,Alchemilla atrovirens Buser,Rosaceae,I,,Alchemilla conjuncta aggr.,12000,1001420
11690,1001390,sp,Alchemilla chirophylla Buser,Rosaceae,I,,Alchemilla plicatula aggr.,18500,1002150
11800,1001400,sp,Alchemilla colorata Buser,Rosaceae,I,,Alchemilla hybrida aggr.,16000,1001890
11850,1001405,sp,Alchemilla compta Buser,Rosaceae,I,,Alchemilla heteropoda aggr.,15800,1001840
12000,1001420,aggr,Alchemilla conjuncta aggr.,Rosaceae,I,,Alchemilla conjuncta superaggr.,12100,1001410
11900,1001430,sp,Alchemilla conjuncta Bab.,Rosaceae,I,,Alchemilla conjuncta aggr.,12000,1001420
12100,1001410,superaggr,Alchemilla conjuncta superaggr.,Rosaceae,I,,,,
12190,1001440,sp,Alchemilla connivens Buser,Rosaceae,I,,Alchemilla glabra aggr.,15000,1001740
12300,1001450,sp,Alchemilla controversa Buser,Rosaceae,I,,Alchemilla glabra aggr.,15000,1001740
12500,1001470,aggr,Alchemilla coriacea aggr.,Rosaceae,I,,,,
12400,1001480,sp,Alchemilla coriacea Buser,Rosaceae,I,,Alchemilla coriacea aggr.,12500,1001470
12700,1001490,sp,Alchemilla crinita Buser,Rosaceae,I,,Alchemilla vulgaris aggr.,21100,1002440
12900,1001510,sp,Alchemilla curtiloba Buser,Rosaceae,I,,Alchemilla vulgaris aggr.,21100,1002440
13100,1001530,aggr,Alchemilla decumbens aggr.,Rosaceae,I,,,,
12990,1001560,sp,Alchemilla decumbens Buser,Rosaceae,I,,Alchemilla decumbens aggr.,13100,1001530
13300,1001570,aggr,Alchemilla demissa aggr.,Rosaceae,I,,,,
13200,1001580,sp,Alchemilla demissa Buser,Rosaceae,I,,Alchemilla demissa aggr.,13300,1001570
13400,1001590,sp,Alchemilla effusa Buser,Rosaceae,I,,Alchemilla glabra aggr.,15000,1001740
13500,1001600,sp,Alchemilla exigua Buser,Rosaceae,I,,Alchemilla hybrida aggr.,16000,1001890
13600,1001610,sp,Alchemilla fallax Buser,Rosaceae,I,,Alchemilla fissa aggr.,14000,1001640
13690,1001620,sp,Alchemilla filicaulis Buser,Rosaceae,I,,Alchemilla hybrida aggr.,16000,1001890
13750,1001635,sp,Alchemilla firma Buser,Rosaceae,I,,Alchemilla fissa aggr.,14000,1001640
14000,1001640,aggr,Alchemilla fissa aggr.,Rosaceae,I,,,,
13890,1001650,sp,Alchemilla fissa Günther & Schummel,Rosaceae,I,,Alchemilla fissa aggr.,14000,1001640
14100,1001660,sp,Alchemilla fissimima Buser,Rosaceae,I,,Alchemilla demissa aggr.,13300,1001570
14200,1001670,sp,Alchemilla flabellata Buser,Rosaceae,I,,Alchemilla hybrida aggr.,16000,1001890
14300,1001680,sp,Alchemilla flavicoma Buser,Rosaceae,I,,Alchemilla vulgaris aggr.,21100,1002440
14400,1001690,sp,Alchemilla flavovirens Buser,Rosaceae,I,,Alchemilla conjuncta aggr.,12000,1001420
14500,1001700,sp,Alchemilla flexicaulis Buser,Rosaceae,I,,Alchemilla fissa aggr.,14000,1001640
14700,1001720,sp,Alchemilla frigens Buser,Rosaceae,I,,Alchemilla glabra aggr.,15000,1001740
14800,1001730,sp,Alchemilla gaillardiana Buser,Rosaceae,I,,Alchemilla vulgaris aggr.,21100,1002440
14830,1001732,sp,Alchemilla galkinae S. E. Fröhner,Rosaceae,I,,Alchemilla fissa aggr.,14000,1001640
14860,1001735,sp,Alchemilla gemmia Buser,Rosaceae,I,,Alchemilla pentaphylloides aggr.,18150,1002115
14890,1001738,sp,Alchemilla gingolphiana S. E. Fröhner,Rosaceae,I,,Alchemilla splendens aggr.,19900,1002300
15000,1001740,aggr,Alchemilla glabra aggr.,Rosaceae,I,,,,
14895,1001750,sp,Alchemilla glabra Neygenf.,Rosaceae,I,,Alchemilla glabra aggr.,15000,1001740
15100,1001760,sp,Alchemilla glacialis Buser,Rosaceae,I,,Alchemilla grossidens aggr.,15400,1001800
15150,1001770,sp,Alchemilla glaucescens Wallr.,Rosaceae,I,,Alchemilla hybrida aggr.,16000,1001890
15200,1001780,sp,Alchemilla glomerulans Buser,Rosaceae,I,,Alchemilla glabra aggr.,15000,1001740
15400,1001800,aggr,Alchemilla grossidens aggr.,Rosaceae,I,,Alchemilla conjuncta superaggr.,12100,1001410
15290,1001810,sp,Alchemilla grossidens Buser,Rosaceae,I,,Alchemilla grossidens aggr.,15400,1001800
15600,1001820,aggr,Alchemilla helvetica aggr.,Rosaceae,I,,,,
15500,1001830,sp,Alchemilla helvetica Brügger,Rosaceae,I,,Alchemilla helvetica aggr.,15600,1001820
15800,1001840,aggr,Alchemilla heteropoda aggr.,Rosaceae,I,,,,
15690,1001850,sp,Alchemilla heteropoda Buser,Rosaceae,I,,Alchemilla heteropoda aggr.,15800,1001840
15900,1001860,sp,Alchemilla hirtipes Buser,Rosaceae,I,,Alchemilla vulgaris aggr.,21100,1002440
15950,1001870,sp,Alchemilla hoppeana (Rchb.) Dalla Torre,Rosaceae,I,,Alchemilla plicatula aggr.,18500,1002150
15980,1001900,sp,Alchemilla hybrida (L.) L.,Rosaceae,I,,Alchemilla hybrida aggr.,16000,1001890
16000,1001890,aggr,Alchemilla hybrida aggr.,Rosaceae,I,,,,
16200,1001910,sp,Alchemilla impexa Buser,Rosaceae,I,,Alchemilla glabra aggr.,15000,1001740
16300,1001920,sp,Alchemilla incisa Buser,Rosaceae,I,,Alchemilla fissa aggr.,14000,1001640
16400,1001930,sp,Alchemilla inconcinna Buser,Rosaceae,I,,Alchemilla heteropoda aggr.,15800,1001840
16450,1001935,sp,Alchemilla infravallesia (Buser) Rothm.,Rosaceae,I,,Alchemilla splendens aggr.,19900,1002300
16500,1001940,sp,Alchemilla jaquetiana Buser,Rosaceae,I,,Alchemilla splendens aggr.,19900,1002300
16550,1001945,sp,Alchemilla jugensis (Buser) Maill.,Rosaceae,I,,Alchemilla grossidens aggr.,15400,1001800
16600,1001950,sp,Alchemilla leptoclada Buser,Rosaceae,I,,Alchemilla conjuncta aggr.,12000,1001420
16700,1001960,sp,Alchemilla lineata Buser,Rosaceae,I,,Alchemilla glabra aggr.,15000,1001740
16800,1001970,sp,Alchemilla longana Buser,Rosaceae,I,,Alchemilla glabra aggr.,15000,1001740
16850,1001975,sp,Alchemilla longinodis (Buser) Maill.,Rosaceae,I,,Alchemilla grossidens aggr.,15400,1001800
16900,1001980,sp,Alchemilla longiuscula Buser,Rosaceae,I,,Alchemilla demissa aggr.,13300,1001570
16930,1001990,sp,Alchemilla lunaria S. E. Fröhner,Rosaceae,I,,Alchemilla heteropoda aggr.,15800,1001840
16960,1002000,sp,Alchemilla micans Buser,Rosaceae,I,,Alchemilla vulgaris aggr.,21100,1002440
17200,1002020,sp,Alchemilla mollis (Buser) Rothm.,Rosaceae,N,,,,
17300,1002030,sp,Alchemilla monticola Opiz,Rosaceae,I,,Alchemilla vulgaris aggr.,21100,1002440
17400,1002040,sp,Alchemilla multidens Buser,Rosaceae,I,,Alchemilla vulgaris aggr.,21100,1002440
17500,1002050,sp,Alchemilla nitida Buser,Rosaceae,I,,Alchemilla plicatula aggr.,18500,1002150
17600,1002060,sp,Alchemilla obscura Buser,Rosaceae,I,,Alchemilla vulgaris aggr.,21100,1002440
17700,1002070,sp,Alchemilla obtusa Buser,Rosaceae,I,,Alchemilla glabra aggr.,15000,1001740
17800,1002080,sp,Alchemilla opaca Buser,Rosaceae,I,,Alchemilla alpina aggr.,11200,1001340
17850,1002085,sp,Alchemilla oscensis S. E. Fröhner,Rosaceae,I,,Alchemilla hybrida aggr.,16000,1001890
17900,1002090,sp,Alchemilla othmarii Buser,Rosaceae,I,,Alchemilla fissa aggr.,14000,1001640
17950,1002095,sp,Alchemilla paicheana (Buser) Rothm.,Rosaceae,I,,Alchemilla splendens aggr.,19900,1002300
17990,1002100,sp,Alchemilla pallens Buser,Rosaceae,I,,Alchemilla grossidens aggr.,15400,1001800
18100,1002110,sp,Alchemilla pentaphyllea L.,Rosaceae,I,,,,
18150,1002115,aggr,Alchemilla pentaphylloides aggr.,Rosaceae,I,,,,
18130,1002120,sp,Alchemilla pentaphylloides Buser,Rosaceae,I,,Alchemilla pentaphylloides aggr.,18150,1002115
18200,1002130,sp,Alchemilla petiolulans Buser,Rosaceae,I,,Alchemilla plicatula aggr.,18500,1002150
18300,1002140,sp,Alchemilla plicata Buser,Rosaceae,I,,Alchemilla hybrida aggr.,16000,1001890
18500,1002150,aggr,Alchemilla plicatula aggr.,Rosaceae,I,,Alchemilla conjuncta superaggr.,12100,1001410
18530,1002161,sp,Alchemilla propinqua Juz.,Rosaceae,,x,Alchemilla vulgaris aggr.,21100,1002440
18560,1002162,sp,Alchemilla pseudodecumbens Hügin & S. E. Fröhner,Rosaceae,I,,Alchemilla decumbens aggr.,13100,1001530
18590,1002165,sp,Alchemilla psilopodia Hügin & S. E. Fröhner,Rosaceae,I,,Alchemilla hybrida aggr.,16000,1001890
18700,1002180,sp,Alchemilla racemulosa Buser,Rosaceae,I,,Alchemilla glabra aggr.,15000,1001740
18750,1002185,sp,Alchemilla radiisecta Buser,Rosaceae,I,,Alchemilla helvetica aggr.,15600,1001820
18800,1002190,sp,Alchemilla reniformis Buser,Rosaceae,I,,Alchemilla glabra aggr.,15000,1001740
18900,1002200,sp,Alchemilla rhododendrophila Buser,Rosaceae,I,,Alchemilla vulgaris aggr.,21100,1002440
18950,1002210,sp,Alchemilla rubristipula Buser,Rosaceae,I,,Alchemilla heteropoda aggr.,15800,1001840
19000,1002220,sp,Alchemilla saxatilis Buser,Rosaceae,I,,Alchemilla alpina aggr.,11200,1001340
19100,1002230,sp,Alchemilla saxetana Buser,Rosaceae,I,,Alchemilla alpina aggr.,11200,1001340
19200,1002240,sp,Alchemilla schmidelyana Buser,Rosaceae,I,,Alchemilla splendens aggr.,19900,1002300
19350,1002255,sp,Alchemilla semihirta Buser,Rosaceae,I,,Alchemilla vulgaris aggr.,21100,1002440
19400,1002260,sp,Alchemilla semisecta Buser,Rosaceae,I,,Alchemilla demissa aggr.,13300,1001570
19490,1002270,sp,Alchemilla sericoneura Buser,Rosaceae,I,,Alchemilla fissa aggr.,14000,1001640
19600,1002280,sp,Alchemilla sinuata Buser,Rosaceae,I,,Alchemilla coriacea aggr.,12500,1001470
19700,1002290,sp,Alchemilla speciosa Buser,Rosaceae,N,,,,
19900,1002300,aggr,Alchemilla splendens aggr.,Rosaceae,I,,,,
19790,1002310,sp,Alchemilla splendens Christ,Rosaceae,I,,Alchemilla splendens aggr.,19900,1002300
19850,1002315,sp,Alchemilla squarrosula Buser,Rosaceae,I,,Alchemilla glabra aggr.,15000,1001740
20000,1002320,sp,Alchemilla straminea Buser,Rosaceae,I,,Alchemilla coriacea aggr.,12500,1001470
20100,1002330,sp,Alchemilla strigosula Buser,Rosaceae,I,,Alchemilla vulgaris aggr.,21100,1002440
20200,1002340,sp,Alchemilla subcrenata Buser,Rosaceae,I,,Alchemilla vulgaris aggr.,21100,1002440
20250,1002345,sp,Alchemilla subglobosa C. G. Westerl.,Rosaceae,I,,Alchemilla vulgaris aggr.,21100,1002440
20400,1002350,aggr,Alchemilla subsericea aggr.,Rosaceae,I,,Alchemilla alpina superaggr.,11100,1001330
20300,1002360,sp,Alchemilla subsericea Reut.,Rosaceae,I,,Alchemilla subsericea aggr.,20400,1002350
20490,1002370,sp,Alchemilla tenuis Buser,Rosaceae,I,,Alchemilla heteropoda aggr.,15800,1001840
20530,1002372,sp,Alchemilla tirolensis Dalla Torre & Sarnth.,Rosaceae,I,,Alchemilla heteropoda aggr.,15800,1001840
20550,1002375,sp,Alchemilla transiens (Buser) Buser,Rosaceae,I,,Alchemilla alpina aggr.,11200,1001340
20580,1002378,sp,Alchemilla trullata Buser,Rosaceae,I,,Alchemilla pentaphylloides aggr.,18150,1002115
20600,1002380,sp,Alchemilla trunciloba Buser,Rosaceae,I,,Alchemilla coriacea aggr.,12500,1001470
20700,1002390,sp,Alchemilla undulata Buser,Rosaceae,I,,Alchemilla decumbens aggr.,13100,1001530
20800,1002410,sp,Alchemilla venosula Buser,Rosaceae,,x,Alchemilla coriacea aggr.,12500,1001470
20900,1002420,sp,Alchemilla versipila Buser,Rosaceae,I,,Alchemilla glabra aggr.,15000,1001740
21000,1002430,sp,Alchemilla vetteri Buser,Rosaceae,,x,Alchemilla hybrida aggr.,16000,1001890
21100,1002440,aggr,Alchemilla vulgaris aggr.,Rosaceae,I,,,,
21230,1002442,sp,Alchemilla weberi S. E. Fröhner,Rosaceae,I,,Alchemilla coriacea aggr.,12500,1001470
21260,1002445,sp,Alchemilla westermaieri Jaquet,Rosaceae,I,,Alchemilla heteropoda aggr.,15800,1001840
21300,1002470,sp,Alchemilla xanthochlora Rothm.,Rosaceae,I,,Alchemilla vulgaris aggr.,21100,1002440
21600,1002480,sp,Aldrovanda vesiculosa L.,Droseraceae,I,,,,
21700,1002490,sp,Alisma gramineum Lej.,Alismataceae,I,,,,
21800,1002500,sp,Alisma lanceolatum With.,Alismataceae,I,,,,
21900,1002510,sp,Alisma plantago-aquatica L.,Alismataceae,I,,,,
22100,1002520,sp,Alliaria petiolata (M. Bieb.) Cavara & Grande,Brassicaceae,I,,,,
22150,1002530,sp,Allium ampeloprasum L.,Amaryllidaceae,,x,,,
22200,1002540,sp,Allium angulosum L.,Amaryllidaceae,I,,,,
22350,1002560,sp,Allium carinatum L.,Amaryllidaceae,I,,,,
22400,1002570,subsp,Allium carinatum L. subsp. carinatum,Amaryllidaceae,I,,Allium carinatum L.,22350,1002560
22500,1002580,subsp,Allium carinatum subsp. pulchellum Bonnier & Layens,Amaryllidaceae,I,,Allium carinatum L.,22350,1002560
22600,1002590,sp,Allium cepa L.,Amaryllidaceae,AC,,,,
22700,1002600,sp,Allium ericetorum Thore,Amaryllidaceae,,x,,,
22800,1002610,sp,Allium fistulosum L.,Amaryllidaceae,N,,,,
22900,1002620,sp,Allium insubricum Boiss. & Reut.,Amaryllidaceae,,x,,,
23000,1002630,sp,Allium lineare L.,Amaryllidaceae,I,,,,
23100,1002640,sp,Allium lusitanicum Lam.,Amaryllidaceae,I,,,,
23300,1002650,sp,Allium narcissiflorum Vill.,Amaryllidaceae,,x,,,
23400,1002670,sp,Allium nigrum L.,Amaryllidaceae,N,,,,
23600,1002680,sp,Allium oleraceum L.,Amaryllidaceae,I,,,,
23700,1002690,sp,Allium paniculatum L.,Amaryllidaceae,,x,,,
23750,1002700,sp,Allium paradoxum (M. Bieb.) G. Don,Amaryllidaceae,N,,,,
23800,1002710,sp,Allium porrum L.,Amaryllidaceae,AC,,,,
24000,1002720,sp,Allium rotundum L.,Amaryllidaceae,I,,,,
24100,1002730,sp,Allium sativum L.,Amaryllidaceae,N,,,,
24200,1002740,sp,Allium schoenoprasum L.,Amaryllidaceae,I,,,,
24300,1002750,sp,Allium scorodoprasum L.,Amaryllidaceae,I,,,,
24500,1002760,sp,Allium sphaerocephalon L.,Amaryllidaceae,I,,,,
24700,1002770,sp,Allium suaveolens Jacq.,Amaryllidaceae,I,,,,
24800,1002790,sp,Allium ursinum L.,Amaryllidaceae,I,,,,
24900,1002800,sp,Allium victorialis L.,Amaryllidaceae,I,,,,
25000,1002810,sp,Allium vineale L.,Amaryllidaceae,A,,,,
25150,1002830,sp,Alnus cordata (Loisel.) Duby,Betulaceae,N,,,,
25200,1002840,sp,Alnus glutinosa (L.) Gaertn.,Betulaceae,I,,,,
25300,1002850,sp,Alnus incana (L.) Moench,Betulaceae,I,,,,
25400,1002870,sp,Alnus viridis (Chaix) DC.,Betulaceae,I,,,,
25500,1002880,sp,Alopecurus aequalis Sobol.,Poaceae,I,,,,
25600,1002890,sp,Alopecurus alpinus Vill.,Poaceae,,x,,,
25700,1002900,sp,Alopecurus geniculatus L.,Poaceae,I,,,,
25900,1002910,sp,Alopecurus myosuroides Huds.,Poaceae,A,,,,
26000,1002920,sp,Alopecurus pratensis L.,Poaceae,I,,,,
26100,1002930,sp,Alopecurus rendlei Eig,Poaceae,N,,,,
26250,1002945,sp,Alternanthera philoxeroides (Mart.) Griseb.,Amaranthaceae,,x,,,
26300,1002960,sp,Althaea hirsuta L.,Malvaceae,N,,,,
26400,1002970,sp,Althaea officinalis L.,Malvaceae,N,,,,
26600,1002990,sp,Alyssoides utriculata (L.) Moench,Brassicaceae,I,,,,
26700,1003000,sp,Alyssum alpestre L.,Brassicaceae,I,,,,
26800,1003010,sp,Alyssum alyssoides (L.) L.,Brassicaceae,I,,,,
26850,1003020,sp,Alyssum argenteum All.,Brassicaceae,,x,,,
27150,1003035,sp,Alyssum cognense Španiel & al.,Brassicaceae,I,,,,
