plotID,priority,Latitude,Longitude,elevation,slope,exposition,LNF_Code,Nutzungsid,LU1980,LU2000,LU2020,mgroup,P.Test.CO2.
SPWI03,MP7,46.55841640161089,9.33234050997666,1541,5,88,613,7147236130000j00,NA,WI,FALSE,CI,NA
SPOE06,MP7,46.55297716167307,9.334758796930538,1531,8,303,611,ANU2040022,NA,OE,TRUE,CE,NA
SPOEX4,MP7,46.55237854497141,9.3367357688366,1590,20,310,611,ANU2040021,NA,OE,TRUE,CE,NA
BOOE10,MP7,46.79481982691301,9.347202391213749,880,14,264,613,72119476130000j00,NA,OE,FALSE,EI,NA
SPWE05,MP7,46.55824221708178,9.342770053893078,1469,18,322,613,7148346130000j00,NA,WE,FALSE,CI,NA
BOOE07,MP7,46.797320083323704,9.3590832533279,1071,19,301,611,ANU2044640,NA,OE,TRUE,CE,NA
FLOE07,MP7,46.70181470160511,9.369908417306531,1811,30,104,612,3989031258,NA,OE,TRUE,CE,NA
FLOE06,MP7,46.70076623279574,9.375265547583457,1727,5,106,612,6623106120715j00,NA,OE,TRUE,CE,NA
FLOE05,MP7,46.708897317448205,9.380750631589027,1666,2,75,611,ANU1234025,NA,OE,TRUE,CE,NA
RHWE02,MP7,46.78104300131131,9.384777215846189,1347,12,57,611,ANU2021048,NA,WE,TRUE,IE,NA
RHOE05,MP7,46.77184384906347,9.392157134902297,1309,20,32,611,ANU31470,NA,OE,TRUE,CE,NA
FLWE06,MP7,46.70495024458131,9.393728029059517,1475,10,72,616,662272b6160000j00,NA,WE,FALSE,CI,NA
RHOE08,MP7,46.79037665979684,9.39720144316557,724,15,299,611,ANU2020965,NA,OE,TRUE,CE,NA
FLWI07,MP7,46.6990392301327,9.395345023972355,1407,3,122,613,6622976130000j00,NA,WI,FALSE,CI,NA
FLWI08,MP7,46.702185121211635,9.397551715804372,1401,8,106,613,6622856130000j00,NA,WI,FALSE,CI,NA
FLWI03,MP7,46.70379305830747,9.411157822476335,1174,4,63,613,662606130000j00,NA,WI,FALSE,CI,NA
FLWI06,MP7,46.70369039643661,9.414610367861751,1106,6,84,613,6622486130000j00,NA,WI,FALSE,CI,NA
SVOE05,MP7,46.65673955881586,9.51758991369983,2028,12,93,611,ANU2001578,NA,OE,TRUE,CE,NA
SVOE08,MP7,46.65232429172006,9.519887129145667,1950,1,92,611,ANU2000148,NA,OE,TRUE,CE,NA
