ID,elevation,canton,municipality,mgroup,LU1980,LU2000,LU2020,LNF_Code,plotID,priority,Latitude,Longitude,slope,exposition,Nutzungsid,P.Test.CO2.
P1-GR-TU-6,1475,Graubünden,Tujetsch,We,NA,Weide,TRUE,617,TM253,P1,46.683395373006874,8.77527208052493,40,200,ANU1952691,NA
P1-GR-TU-7,1510,Graubünden,Tujetsch,IWi,NA,Intensiv genutzte Wiese,FALSE,613,TM031,P1,46.66949335958214,8.740463892620209,40,110,98621526130000j00,NA
P1-GR-TU-8,1521,Graubünden,Tujetsch,IWi,NA,Intensiv genutzte Wiese,FALSE,613,TM029,P1,46.67580949773549,8.742001677886613,45,115,98621816130000j00,NA
P1-GR-TU-9,1550,Graubünden,Tujetsch,We,NA,Weide,FALSE,616,TM038,P1,46.66124676768828,8.72191855297521,40,135,9863686160000j00,NA
P1-GR-TU-10,1555,Graubünden,Tujetsch,We,NA,Weide,TRUE,617,NB1215,P1,46.65947456860053,8.717904110608643,25,SE,ANU1952880,NA
P1-GR-TU-11,1563,Graubünden,Tujetsch,EWi,NA,Extensiv genutzte Wiese,TRUE,617,TM110,P1,46.67945942209554,8.748521114043294,50,130,ANU1953058,NA
P1-GR-TU-12,1599,Graubünden,Tujetsch,EWi,NA,Extensiv genutzte Wiese,TRUE,611,TM028,P1,46.66996050471305,8.734999033633395,10,30,ANU1952980,NA
P1-GR-TU-13,1720,Graubünden,Tujetsch,EWi,NA,Extensiv genutzte Wiese,TRUE,611,NB1220,P1,46.6639107338502,8.723432392448228,58,SE,ANU1952928,NA
P1-GR-TU-14,1757,Graubünden,Tujetsch,We,NA,Weide,TRUE,617,TM210,P1,46.654989394557845,8.698146948454038,67,135,ANU1952777,NA
P1-GR-TU-15,1839,Graubünden,Tujetsch,EWi,NA,Extensiv genutzte Wiese,TRUE,611,TM027,P1,46.66610237387744,8.72215153729761,15,90,ANU1953074,NA
P2-BE-GR-52,970,Bern,Grindelwald,NA,Fettweide,Weide,FALSE,613,79/323,P2,46.633733418437565,7.97340534053496,30,N-NE,323468,NA
P2-BE-GR-53,1200,Bern,Grindelwald,NA,Fettweide,Weide,TRUE,611,81/038,P2,46.63117819817149,8.068577824437536,45,W,879473,NA
P2-BE-GR-54,1206,Bern,Grindelwald,NA,Fettweide,Weide,FALSE,613,GW005,P2,46.632352610088425,8.042734677351906,18,174,322028,NA
