"SEN";"Taxon";"Kl";"Gattung";"Art";"NISM";"T";"Tv";"K";"Kv";"L";"Lv";"AS";"ASv";"F";"Fv";"R";"Rv";"N";"Nv";"H";"Hv";"WA";"WL";"VA";"FS";"SP";"SZ";"LR";"LRv";"EM";"VE";"RL";"Bes"
102;"Calypogeia sphagnicola";"H";"Calypogeia";"sphagnicola";"NISM";"3";"II";"2";"I";"4";"II";"Pm Bt";"II";"5";"II";"1";"I";"";"";"";"";"";"Ü.n";"Bk";"aut";"m";"So-He";"eM";"II";1;"";"VU";"tax"
103;"Calypogeia suecica";"H";"Calypogeia";"suecica";"NISM";"3";"II";"2";"II";"2";"I";"Ph Bt";"I";"4";"II";"2";"I";"";"";"";"";"";"Ü.n";"Bk";"di";"m";"Fr";"gH";"I";1;"";"";""
104;"Campylium calcareum";"M";"Campylium";"calcareum";"NISM";"x";"-";"";"";"3";"II";"Gf Be";"I";"3";"I";"3";"II";"";"";"";"";"";"Ü.n";"-";"aut";"c";"Fr-So";"gH";"II";3;"";"";""
105;"Campylium chrysophyllum";"M";"Campylium";"chrysophyllum";"NISM";"x";"-";"3";"II";"3";"II";"Be Gf";"I";"3";"II";"4";"I";"1";"I";"1";"I";"L";"D.n";"-";"di";"m";"So";"gH";"II";3;"";"";""
106;"Campylium halleri";"M";"Campylium";"halleri";"NISM";"2";"II";"3";"II";"2";"II";"Gf";"I";"3";"II";"5";"II";"3";"II";"";"";"";"Ü.n";"-";"aut";"c";"So";"gH";"II";3;"";"";""
107;"Campylium stellatum";"M";"Campylium";"stellatum";"NISM";"x";"-";"3";"II";"3";"II";"Be Bt";"I";"4";"I";"4";"II";"3";"II";"3";"I";"LW";"D.n";"-";"di";"m";"So";"gK";"II";3;"";"";""
108;"Campylopus atrovirens";"M";"Campylopus";"atrovirens";"NISM";"4";"II";"1";"II";"2";"I";"Gf Be";"I";"4";"II";"2";"I";"";"";"";"";"";"R.n";"Bs";"di";"-";"";"gH";"II";1;"";"";""
109;"Campylopus flexuosus";"M";"Campylopus";"flexuosus";"NISM";"3";"II";"";"";"3";"II";"Be Bh";"II";"2";"I";"1";"I";"";"";"";"";"";"R.n";"Bs";"di";"m";"Fr";"gH";"II";1;"";"";""
110;"Campylopus fragilis";"M";"Campylopus";"fragilis";"NISM";"3";"II";"2";"II";"2";"I";"Bt Gf";"II";"2";"I";"2";"I";"";"";"";"";"";"R.n";"Bb*";"di";"-";"";"gH";"II";1;"";"";""
111;"Campylopus introflexus";"M";"Campylopus";"introflexus";"NISM";"4";"II";"2";"I";"3";"II";"Be Bt";"II";"2";"II";"2";"I";"1";"I";"5";"I";"";"R.n";"Bb*";"";"p";"So";"gH";"II";3;"<";"";"neo, nom"
112;"Campylopus pyriformis";"M";"Campylopus";"pyriformis";"NISM";"3";"II";"";"";"2";"I";"Bt Gl";"I";"2";"I";"2";"I";"";"";"";"";"";"R.n";"Bs";"di";"m";"Fr";"gH";"II";1;"";"";"tax"
113;"Campylostelium saxicola";"M";"Campylostelium";"saxicola";"NISM";"3";"I";"2";"I";"1";"II";"Gf";"I";"3";"I";"2";"I";"";"";"";"";"";"R.n";"-";"aut";"c";"He";"gH";"I";1;"";"EN";""
114;"Catoscopium nigritum";"M";"Catoscopium";"nigritum";"NISM";"2";"II";"";"";"4";"II";"Be Bt";"I";"4";"II";"4";"II";"";"";"";"";"";"R.n";"-";"di";"m";"So";"gK";"II";1;"";"VU";""
115;"Cephalozia bicuspidata aggr.";"H";"Cephalozia";"bicuspidata aggr.";"";"2";"II";"3";"I";"x";"-";"Be Ph";"II";"3";"II";"2";"I";"1";"II";"x";"-";"";"Ü.n";"Bk";"aut";"c";"Fr-So";"gH";"II";1;"";"";""
116;"Cephalozia catenulata";"H";"Cephalozia";"catenulata";"NISM";"3";"II";"3";"II";"4";"I";"Ph Gf";"I";"5";"II";"2";"I";"";"";"";"";"";"Ü.n";"Bk";"di";"p";"So";"gH";"I";1;"";"";""
117;"Cephalozia connivens";"H";"Cephalozia";"connivens";"NISM";"3";"II";"2";"II";"4";"I";"Bt Pm";"I";"4";"II";"1";"I";"";"";"";"";"";"Ü.n";"Bk";"aut";"c";"Fr-So";"eM";"II";1;"";"";""
118;"Cephalozia leucantha";"H";"Cephalozia";"leucantha";"NISM";"2";"I";"2";"I";"2";"II";"Ph Bt";"I";"3";"II";"2";"I";"";"";"";"";"";"Ü.n";"Bk";"di";"c";"Fr-So";"gH";"I";1;"";"EN";""
119;"Cephalozia lunulifolia aggr.";"H";"Cephalozia";"lunulifolia aggr.";"";"2";"II";"";"";"4";"II";"Ph Be";"II";"4";"II";"1";"II";"";"";"";"";"";"Ü.n";"Bk";"m/d";"m";"So";"gH";"II";3;"";"";"tax"
120;"Cephalozia pleniceps";"H";"Cephalozia";"pleniceps";"NISM";"2";"II";"";"";"2";"II";"Be Ph";"II";"3";"II";"4";"II";"";"";"";"";"";"Ü.n";"Bk";"aut";"c";"So-He";"gH";"II";3;"";"";"tax"
121;"Cephaloziella divaricata";"H";"Cephaloziella";"divaricata";"NISM";"x";"-";"3";"II";"4";"I";"Be Gf";"I";"3";"II";"2";"I";"1";"I";"3";"II";"";"Ü.n";"Bk";"di";"p";"Fr-Wi";"eK";"II";3;"";"";"tax"
122;"Cephaloziella elachista";"H";"Cephaloziella";"elachista";"NISM";"4";"II";"2";"II";"4";"I";"Bt";"I";"5";"I";"1";"I";"";"";"";"";"";"Ü.n";"Bk";"aut";"m";"So";"eM";"I";1;"";"VU";""
123;"Cephaloziella massalongi";"H";"Cephaloziella";"massalongi";"NISM";"2";"I";"3";"I";"2";"II";"Gf Pm";"I";"3";"I";"1";"I";"1";"I";"";"";"M";"Ü.n";"Bk";"aut";"c";"So-He";"gG";"II";1;"";"VU";""
124;"Cephaloziella phyllacantha";"H";"Cephaloziella";"phyllacantha";"NISM";"3";"II";"3";"I";"2";"I";"Gf Pm";"I";"3";"I";"1";"I";"1";"I";"";"";"M";"Ü.n";"Bk";"aut";"-";"";"gH";"II";1;"";"VU";""
125;"Cephaloziella rubella aggr.";"H";"Cephaloziella";"rubella aggr.";"";"x";"-";"3";"I";"2";"II";"Be Bg";"II";"3";"II";"2";"I";"1";"I";"5";"II";"";"Ü.n";"Bk";"mo";"m";"Fr-He";"gH";"II";1;"";"(CR)";"tax"
126;"Ceratodon purpureus aggr.";"M";"Ceratodon";"purpureus aggr.";"";"x";"-";"3";"I";"4";"II";"Be Gl";"II";"2";"II";"3";"II";"5";"II";"3";"II";"";"R.r";"Bk";"di";"c";"Fr-So";"gH";"II";3;"";"(VU)";""
127;"Chiloscyphus polyanthos aggr.";"H";"Chiloscyphus";"polyanthos aggr.";"";"3";"II";"3";"I";"2";"II";"Be Gf";"II";"4";"II";"4";"II";"3";"II";"1";"II";"";"Ü.n";"-";"aut";"c";"Fr-So";"gH";"II";1;"";"";""
128;"Cinclidium stygium";"M";"Cinclidium";"stygium";"NISM";"2";"I";"";"";"4";"I";"Be Bt";"I";"5";"II";"3";"II";"";"";"";"";"";"R.n";"-";"syn";"m";"So";"eM";"I";1;"";"";""
129;"Cinclidotus danubicus";"M";"Cinclidotus";"danubicus";"NISM";"4";"I";"";"";"4";"II";"Gf";"I";"5";"II";"5";"I";"";"";"";"";"";"R.w";"-";"di";"-";"";"gW";"II";3;"";"";""
130;"Cinclidotus fontinaloides";"M";"Cinclidotus";"fontinaloides";"NISM";"4";"II";"3";"I";"4";"II";"Gf";"I";"4";"II";"4";"II";"3";"II";"";"";"";"R.n";"-";"di";"m";"So-He";"eU";"II";3;">";"";""
131;"Cinclidotus riparius";"M";"Cinclidotus";"riparius";"NISM";"4";"II";"3";"II";"4";"II";"Gf";"I";"5";"II";"5";"II";"3";"I";"";"";"";"R.w";"-";"di";"p";"So";"gW";"II";3;"";"";""
132;"Cirriphyllum cirrosum";"M";"Cirriphyllum";"cirrosum";"NISM";"1";"II";"";"";"2";"II";"Gf Be";"I";"3";"I";"4";"II";"";"";"";"";"";"D.n";"-";"di";"p";"?";"eG";"II";1;"";"";""
133;"Cirriphyllum crassinervium";"M";"Cirriphyllum";"crassinervium";"NISM";"4";"II";"2";"I";"2";"I";"Gf Be";"I";"3";"I";"4";"I";"";"";"";"";"";"D.n";"-";"di";"m";"Fr";"gH";"II";1;"";"";""
134;"Cirriphyllum piliferum";"M";"Cirriphyllum";"piliferum";"NISM";"3";"II";"3";"I";"3";"II";"Be Bh";"I";"3";"I";"4";"II";"3";"I";"5";"II";"";"D.n";"-";"di";"m";"Fr";"gH";"II";1;"";"";""
135;"Cirriphyllum tommasinii aggr.";"M";"Cirriphyllum";"tommasinii aggr.";"";"3";"II";"2";"I";"2";"I";"Gf";"I";"3";"I";"5";"II";"";"";"";"";"";"D.n";"-";"di";"m";"Fr";"gH";"II";3;"";"(VU)";""
136;"Cladopodiella fluitans";"H";"Cladopodiella";"fluitans";"NISM";"3";"II";"3";"II";"4";"I";"Pm Bt";"I";"5";"I";"1";"II";"";"";"";"";"";"Ü.w";"-";"di";"-";"";"eM";"I";1;"";"";""
137;"Climacium dendroides";"M";"Climacium";"dendroides";"NISM";"3";"II";"3";"I";"4";"II";"Be Bt";"I";"4";"II";"3";"II";"3";"II";"3";"II";"";"B.n";"-";"di";"m";"He-Wi";"gK";"II";3;"";"";""
138;"Cololejeunea calcarea";"H";"Cololejeunea";"calcarea";"NISM";"3";"II";"2";"II";"4";"I";"Gf Pm";"I";"4";"II";"5";"II";"3";"II";"";"";"";"Ü.n";"-";"aut";"c";"Fr-He";"gH";"II";1;"";"";""
139;"Conardia compacta";"M";"Conardia";"compacta";"NISM";"3";"II";"";"";"2";"II";"Gf Gl";"I";"3";"II";"5";"I";"";"";"";"";"";"Ü.n";"Bk";"mo";"-";"";"gG";"I";1;"";"VU";""
140;"Conocephalum conicum aggr.";"H";"Conocephalum";"conicum aggr.";"";"3";"II";"2";"II";"2";"I";"Be Gf";"I";"4";"II";"4";"II";"3";"II";"3";"II";"";"T.n";"Kt";"di";"m";"Fr";"gH";"II";3;"";"";""
141;"Conostomum tetragonum";"M";"Conostomum";"tetragonum";"NISM";"1";"I";"";"";"4";"I";"Be Gf";"I";"3";"I";"4";"II";"";"";"";"";"";"R.n";"-";"di";"m";"So";"eG";"II";1;"";"";""
142;"Corsinia coriandrina";"H";"Corsinia";"coriandrina";"NISM";"5";"I";"";"";"2";"II";"Be Gl";"I";"3";"II";"2";"I";"";"";"";"";"";"T.n";"-";"aut";"m";"?";"gE";"II";3;"";"VU";""
143;"Coscinodon cribrosus aggr.";"M";"Coscinodon";"cribrosus aggr.";"";"3";"II";"";"";"5";"II";"Gf";"I";"1";"II";"2";"II";"";"";"";"";"";"P.n";"-";"di";"c";"Fr-So";"eG";"II";3;"";"";""
144;"Cratoneuron filicinum aggr.";"M";"Cratoneuron";"filicinum aggr.";"";"x";"-";"3";"II";"3";"II";"Be Gf";"II";"4";"II";"5";"I";"1";"II";"3";"II";"";"D.n";"-";"di";"m";"Fr-So";"eU";"II";3;"";"";""
145;"Crossidium squamiferum";"M";"Crossidium";"squamiferum";"NISM";"5";"I";"";"";"5";"I";"Gf Be";"I";"1";"I";"5";"I";"";"";"";"";"";"P.n";"-";"aut";"m";"Fr";"eK";"II";3;"";"VU";""
146;"Ctenidium molluscum";"M";"Ctenidium";"molluscum";"NISM";"3";"II";"3";"II";"2";"II";"Gf Be";"I";"3";"II";"4";"II";"3";"II";"3";"II";"";"D.n";"-";"di";"m";"Fr-He";"gH";"II";3;"";"";""
147;"Cynodontium gracilescens aggr.";"M";"Cynodontium";"gracilescens aggr.";"";"2";"II";"";"";"2";"I";"Gf Be";"I";"2";"II";"2";"II";"";"";"";"";"";"P.n";"-";"aut";"m";"So";"gH";"II";1;"";"(EN)";""
148;"Cynodontium polycarpon aggr.";"M";"Cynodontium";"polycarpon aggr.";"";"3";"II";"";"";"1";"II";"Gf Be";"I";"3";"II";"2";"II";"";"";"";"";"";"P.n";"-";"aut";"c";"So";"gH";"II";1;"";"";""
149;"Desmatodon latifolius";"M";"Desmatodon";"latifolius";"NISM";"1";"I";"";"";"2";"I";"Be Gl";"I";"2";"I";"4";"II";"";"";"";"";"";"R.n";"-";"mo";"c";"So-He";"eK";"II";1;"";"";""
150;"Dialytrichia mucronata aggr.";"M";"Dialytrichia";"mucronata aggr.";"";"4";"I";"1";"II";"4";"II";"Gf";"II";"4";"II";"5";"II";"";"";"";"";"";"R.n";"-";"di";"-";"";"eU";"II";3;"";"CR";""
151;"Dichelyma falcatum";"M";"Dichelyma";"falcatum";"NISM";"2";"";"5";"";"3";"I";"Gf Bt";"I";"5";"II";"2";"I";"";"";"";"";"W";"D.w";"-";"di";"m";"So";"gW";"";1;"";"VU";""
152;"Dichodontium palustre";"M";"Dichodontium";"palustre";"NISM";"2";"I";"3";"I";"4";"I";"Be Bg";"I";"4";"I";"3";"II";"1";"I";"3";"II";"";"R.n";"-";"di";"p";"He";"eQ";"II";1;"";"";""
153;"Dichodontium pellucidum aggr.";"M";"Dichodontium";"pellucidum aggr.";"";"x";"-";"3";"I";"2";"II";"Gf Be";"I";"4";"I";"4";"II";"1";"I";"1";"II";"";"R.n";"Bk";"di";"m";"Wi";"gH";"II";3;"";"";""
154;"Dicranella cerviculata";"M";"Dicranella";"cerviculata";"NISM";"3";"I";"";"";"4";"II";"Bt";"I";"2";"II";"2";"I";"";"";"";"";"";"R.n";"-";"di";"c";"Fr-He";"eE";"II";3;"";"EN";""
155;"Dicranella heteromalla";"M";"Dicranella";"heteromalla";"NISM";"3";"II";"3";"I";"2";"I";"Be";"I";"2";"II";"2";"II";"1";"I";"3";"II";"";"P.n";"-";"di";"m";"Wi-Fr";"gH";"I";3;"=";"";""
156;"Dicranella schreberiana";"M";"Dicranella";"schreberiana";"NISM";"3";"II";"";"";"3";"II";"Be Bg";"I";"3";"I";"3";"II";"";"";"";"";"L";"R.k";"-";"di";"m";"He";"eE";"II";3;"";"";""
157;"Dicranella staphylina";"M";"Dicranella";"staphylina";"NISM";"4";"I";"";"";"4";"I";"Be";"I";"3";"I";"3";"II";"5";"II";"3";"II";"";"R.k";"Kr";"di";"-";"";"eE";"II";5;"";"";""
158;"Dicranella subulata";"M";"Dicranella";"subulata";"NISM";"2";"II";"";"";"2";"I";"Be Bg";"I";"3";"I";"2";"II";"";"";"";"";"";"R.n";"-";"di";"m";"He-Wi";"gH";"II";3;"";"";""
159;"Dicranella varia aggr.";"M";"Dicranella";"varia aggr.";"";"3";"II";"";"";"3";"II";"Be Bg";"I";"2";"II";"5";"II";"";"";"";"";"L";"R.n";"-";"di";"c";"Wi";"gH";"II";3;"";"(VU)";""
160;"Dicranodontium denudatum";"M";"Dicranodontium";"denudatum";"NISM";"3";"II";"3";"II";"2";"I";"Ph Bh";"II";"3";"II";"2";"I";"1";"I";"5";"I";"";"R.n";"Bb";"di";"m";"Fr";"gH";"I";1;"";"";"tax"
161;"Dicranoweisia cirrata";"M";"Dicranoweisia";"cirrata";"NISM";"4";"II";"";"";"2";"I";"Pr Ph";"I";"3";"I";"2";"I";"";"";"";"";"";"R.n";"Bk";"aut";"c";"Wi";"gH";"I";3;"";"";""
162;"Dicranoweisia crispula aggr.";"M";"Dicranoweisia";"crispula aggr.";"";"1";"II";"3";"I";"4";"II";"Gf Be";"I";"2";"II";"3";"II";"1";"I";"3";"II";"";"P.n";"-";"aut";"c";"Fr-So";"eG";"II";3;"";"";""
163;"Dicranum elongatum";"M";"Dicranum";"elongatum";"NISM";"1";"II";"";"";"3";"II";"Be Gf";"I";"2";"I";"2";"II";"";"";"";"";"";"R.n";"-";"di";"p";"So";"gG";"II";1;"";"";""
164;"Dicranum flagellare";"M";"Dicranum";"flagellare";"NISM";"4";"II";"";"";"2";"I";"Ph Pr";"I";"3";"I";"1";"I";"";"";"";"";"";"R.n";"Bs";"di";"m";"So-He";"gH";"I";3;"";"EN";""
165;"Dicranum fulvum";"M";"Dicranum";"fulvum";"NISM";"4";"II";"2";"I";"2";"I";"Gf";"I";"2";"II";"2";"I";"";"";"";"";"";"R.n";"-";"di";"p";"He";"gH";"I";1;"";"";""
166;"Dicranum fuscescens";"M";"Dicranum";"fuscescens";"NISM";"2";"II";"";"";"2";"I";"Bh Be";"II";"3";"I";"2";"I";"";"";"";"";"";"R.n";"-";"di";"p";"So-He";"gH";"II";1;"";"";""
167;"Dicranum majus";"M";"Dicranum";"majus";"NISM";"3";"II";"";"";"1";"II";"Be Bh";"II";"4";"II";"2";"II";"";"";"";"";"";"R.n";"-";"di";"m";"So-He";"gH";"I";1;"";"";""
168;"Dicranum montanum";"M";"Dicranum";"montanum";"NISM";"3";"II";"3";"I";"2";"I";"Pr Ph";"I";"3";"II";"1";"I";"1";"I";"";"";"";"R.n";"Bb";"di";"p";"So";"gH";"I";1;"";"";""
169;"Dicranum muehlenbeckii aggr.";"M";"Dicranum";"muehlenbeckii aggr.";"";"1";"II";"";"";"4";"II";"Be Gf";"II";"2";"I";"4";"II";"";"";"";"";"";"R.n";"-";"di";"p";"So";"gH";"II";1;"";"";""
170;"Dicranum polysetum";"M";"Dicranum";"polysetum";"NISM";"3";"II";"";"";"3";"II";"Bt Be";"I";"2";"II";"3";"II";"";"";"";"";"";"R.n";"-";"di";"m";"So-He";"gH";"II";1;"";"";"nom"
171;"Dicranum scoparium aggr.";"M";"Dicranum";"scoparium aggr.";"";"3";"II";"3";"II";"3";"II";"Be Bh";"II";"2";"II";"x";"-";"1";"I";"5";"II";"";"R.n";"-";"di";"m";"Fr-So";"gH";"II";3;"";"";""
172;"Dicranum spurium";"M";"Dicranum";"spurium";"NISM";"3";"I";"2";"I";"2";"I";"Be Bh";"I";"2";"I";"2";"I";"";"";"";"";"";"R.n";"-";"di";"-";"";"";"";1;"";"VU";""
173;"Dicranum tauricum";"M";"Dicranum";"tauricum";"NISM";"2";"II";"2";"I";"2";"I";"Pr Ph";"I";"2";"I";"2";"II";"";"";"";"";"";"R.n";"Bf";"di";"p";"So";"gH";"I";3;"";"";""
174;"Dicranum undulatum";"M";"Dicranum";"undulatum";"NISM";"3";"II";"";"";"4";"I";"Bt Be";"I";"4";"I";"2";"I";"";"";"";"";"";"R.n";"-";"di";"p";"So";"eM";"II";1;"";"";"nom"
175;"Dicranum viride";"M";"Dicranum";"viride";"NISM";"4";"I";"2";"I";"2";"I";"Pr";"I";"3";"II";"2";"I";"";"";"";"";"";"R.n";"Bf";"di";"-";"";"gH";"I";1;"";"";""
176;"Didymodon acutus aggr.";"M";"Didymodon";"acutus aggr.";"";"4";"II";"";"";"4";"II";"Be Bg";"II";"2";"II";"4";"II";"";"";"";"";"";"R.n";"-";"di";"p";"Fr-So";"eG";"II";3;"";"(VU)";""
177;"Didymodon cordatus";"M";"Didymodon";"cordatus";"NISM";"4";"II";"";"";"4";"II";"Gf Be";"I";"2";"I";"5";"I";"";"";"";"";"";"R.n";"Bk";"di";"-";"";"eG";"I";3;"";"VU";""
178;"Didymodon fallax";"M";"Didymodon";"fallax";"NISM";"3";"II";"";"";"4";"I";"Gf Be";"I";"2";"II";"4";"II";"";"";"";"";"";"R.n";"-";"di";"m";"He-Fr";"gH";"II";3;"";"";"tax"
179;"Didymodon ferrugineus";"M";"Didymodon";"ferrugineus";"NISM";"3";"II";"";"";"4";"II";"Gf Be";"I";"2";"II";"4";"II";"";"";"";"";"";"R.n";"-";"di";"p";"Wi-Fr";"gH";"II";3;"";"";""
180;"Didymodon giganteus";"M";"Didymodon";"giganteus";"NISM";"3";"II";"3";"I";"4";"I";"Be Gf";"I";"4";"I";"4";"II";"1";"I";"3";"II";"";"R.n";"-";"di";"-";"";"eK";"II";3;"";"";""
181;"Didymodon rigidulus aggr.";"M";"Didymodon";"rigidulus aggr.";"";"3";"II";"3";"II";"3";"II";"Gf Be";"I";"3";"II";"5";"II";"3";"II";"3";"II";"";"R.n";"Bk";"di";"m";"He";"eG";"II";3;"";"(VU)";""
182;"Didymodon spadiceus";"M";"Didymodon";"spadiceus";"NISM";"4";"II";"";"";"2";"I";"Gf Be";"I";"3";"II";"4";"I";"";"";"";"";"";"R.n";"-";"di";"c";"Fr";"gH";"II";1;"";"";"tax"
183;"Didymodon tophaceus";"M";"Didymodon";"tophaceus";"NISM";"4";"II";"";"";"3";"II";"Gf Gt";"I";"4";"II";"5";"I";"";"";"";"";"";"R.n";"-";"di";"m";"Wi";"eG";"II";3;"";"";""
184;"Didymodon vinealis aggr.";"M";"Didymodon";"vinealis aggr.";"";"4";"II";"";"";"4";"I";"Gf";"II";"2";"I";"5";"I";"";"";"";"";"";"R.n";"-";"di";"p";"Fr-So";"eK";"II";3;"";"CR";""
185;"Diphyscium foliosum";"M";"Diphyscium";"foliosum";"NISM";"x";"-";"2";"I";"2";"II";"Be";"I";"3";"I";"2";"II";"1";"I";"1";"I";"L";"R.n";"-";"di";"m";"Fr-So";"gH";"II";3;"";"";""
186;"Diplophyllum albicans aggr.";"H";"Diplophyllum";"albicans aggr.";"";"3";"II";"2";"II";"2";"II";"Gf Be";"I";"3";"I";"2";"I";"1";"I";"1";"I";"";"Ü.n";"Bk";"di";"p";"Wi-So";"gH";"II";1;"";"";""
187;"Diplophyllum obtusifolium";"H";"Diplophyllum";"obtusifolium";"NISM";"3";"II";"2";"II";"2";"I";"Be Gl";"I";"3";"I";"1";"II";"1";"I";"1";"I";"";"Ü.n";"Bk";"par";"c";"Fr-So";"gH";"II";1;"";"";""
188;"Diplophyllum taxifolium";"H";"Diplophyllum";"taxifolium";"NISM";"1";"II";"2";"II";"3";"II";"Be Gf";"I";"3";"II";"2";"I";"1";"I";"3";"I";"";"Ü.n";"Bk";"di";"p";"?";"gH";"II";1;"";"";""
189;"Distichium capillaceum aggr.";"M";"Distichium";"capillaceum aggr.";"";"1";"II";"3";"I";"3";"II";"Gf Be";"I";"2";"II";"5";"II";"1";"I";"3";"II";"";"R.n";"-";"mo";"c";"So-He";"gG";"II";3;"";"";""
190;"Distichophyllum carinatum";"M";"Distichophyllum";"carinatum";"NISM";"3";"";"1";"I";"3";"II";"Gf";"";"5";"I";"3";"I";"";"";"";"";"";"Ü.n";"Bk";"di";"-";"";"gH";"";1;"";"RE*";""
191;"Ditrichum cylindricum";"M";"Ditrichum";"cylindricum";"NISM";"3";"II";"3";"I";"3";"II";"Be";"I";"2";"II";"2";"II";"3";"II";"3";"II";"L";"R.r";"-";"di";"m";"So";"eK";"II";3;"";"";""
192;"Ditrichum flexicaule aggr.";"M";"Ditrichum";"flexicaule aggr.";"";"3";"II";"3";"II";"3";"II";"Gf Be";"I";"2";"II";"5";"II";"1";"I";"3";"II";"";"R.n";"-";"di";"p";"Fr-So";"gK";"II";3;"";"";""
193;"Ditrichum heteromallum aggr.";"M";"Ditrichum";"heteromallum aggr.";"";"1";"II";"";"";"4";"II";"Be Bg";"I";"2";"II";"2";"II";"";"";"";"";"";"R.n";"Kr";"di";"c";"He-Fr";"eG";"II";3;"";"";""
194;"Ditrichum pallidum";"M";"Ditrichum";"pallidum";"NISM";"4";"I";"";"";"3";"II";"Be";"I";"2";"I";"2";"II";"";"";"";"";"";"R.n";"Kr";"aut";"c";"Fr-So";"gH";"I";3;"";"EN";""
195;"Ditrichum pusillum";"M";"Ditrichum";"pusillum";"NISM";"3";"II";"";"";"3";"II";"Bg Be";"I";"2";"I";"2";"I";"";"";"";"";"";"R.n";"Kr";"di";"p";"He-Wi";"gG";"II";3;"";"EN";""
196;"Drepanocladus aduncus";"M";"Drepanocladus";"aduncus";"NISM";"x";"-";"3";"I";"4";"II";"Be Bt";"I";"5";"II";"4";"II";"3";"II";"5";"II";"";"D.n";"-";"di";"p";"So";"gK";"I";3;"";"";""
197;"Encalypta affinis";"M";"Encalypta";"affinis";"NISM";"1";"II";"";"";"3";"II";"Gf Be";"II";"3";"I";"4";"II";"";"";"";"";"";"R.n";"-";"mo";"m";"So";"eG";"II";3;"";"(CR)";""
198;"Encalypta alpina";"M";"Encalypta";"alpina";"NISM";"1";"II";"";"";"2";"I";"Be Gf";"I";"3";"II";"5";"II";"";"";"";"";"";"R.n";"-";"mo";"c";"So-He";"gG";"II";1;"";"";""
199;"Encalypta ciliata";"M";"Encalypta";"ciliata";"NISM";"2";"I";"";"";"2";"I";"Gf Be";"I";"3";"I";"x";"-";"";"";"";"";"";"R.n";"-";"aut";"c";"So";"gG";"II";3;"";"";""
200;"Encalypta streptocarpa";"M";"Encalypta";"streptocarpa";"NISM";"3";"II";"3";"I";"2";"II";"Gf Be";"I";"3";"I";"4";"II";"1";"I";"x";"-";"";"R.n";"Bk";"di";"m";"So";"gH";"II";3;"";"";""
201;"Encalypta vulgaris aggr.";"M";"Encalypta";"vulgaris aggr.";"";"1";"II";"";"";"4";"II";"Be Gl";"I";"2";"II";"5";"II";"";"";"";"";"";"R.n";"-";"aut";"c";"Fr-So";"gG";"II";3;"";"";""
202;"Entodon cladorrhizans aggr.";"M";"Entodon";"cladorrhizans aggr.";"";"4";"II";"2";"II";"2";"I";"Gf";"I";"3";"II";"5";"II";"";"";"";"";"";"D.n";"-";"mo";"c";"Wi";"gH";"I";3;"";"(RE)";""
203;"Entodon concinnus";"M";"Entodon";"concinnus";"NISM";"3";"II";"3";"I";"4";"II";"Be Gf";"I";"2";"II";"5";"II";"1";"I";"3";"I";"";"D.n";"-";"di";"p";"He";"gK";"II";3;"";"";""
204;"Ephemerum cohaerens";"M";"Ephemerum";"cohaerens";"NISM";"4";"I";"";"";"4";"I";"Be";"I";"3";"I";"x";"-";"";"";"";"";"W";"G.k";"-";"m/d";"c";"He";"eU";"I";1;"";"CR";""
205;"Ephemerum recurvifolium";"M";"Ephemerum";"recurvifolium";"NISM";"4";"I";"";"";"4";"I";"Be";"I";"3";"I";"x";"-";"";"";"";"";"";"R.k";"-";"di";"c";"Wi-Fr";"gK";"II";3;">";"CR";""
206;"Ephemerum serratum aggr.";"M";"Ephemerum";"serratum aggr.";"";"4";"II";"3";"I";"4";"II";"Be Bg";"I";"3";"I";"x";"-";"3";"II";"1";"I";"";"G.k";"-";"di*";"c";"He-Fr";"eE";"II";5;">";"(VU)";""
207;"Epipterygium tozeri";"M";"Epipterygium";"tozeri";"NISM";"5";"I";"1";"II";"2";"I";"Be Bg";"I";"3";"I";"2";"I";"";"";"";"";"L";"R.n";"-";"di";"m";"";"gH";"II";1;"";"VU";""
208;"Eremonotus myriocarpus";"H";"Eremonotus";"myriocarpus";"NISM";"3";"II";"2";"I";"3";"II";"Gf";"I";"4";"I";"3";"II";"3";"II";"";"";"";"Ü.n";"-";"di";"m";"So-He";"gH";"II";1;"";"";""
209;"Eucladium verticillatum";"M";"Eucladium";"verticillatum";"NISM";"4";"II";"3";"I";"2";"II";"Gt Gf";"I";"5";"II";"5";"I";"1";"II";"";"";"";"R.t";"-";"di";"m";"So";"gH";"II";3;"";"";""
210;"Eurhynchium hians";"M";"Eurhynchium";"hians";"NISM";"4";"II";"3";"II";"x";"-";"Be Gf";"I";"3";"II";"x";"-";"5";"II";"x";"-";"";"D.n";"-";"di";"p";"He-Fr";"gK";"II";3;"";"";""
211;"Eurhynchium praelongum";"M";"Eurhynchium";"praelongum";"NISM";"4";"II";"2";"I";"2";"I";"Be Ph";"II";"3";"I";"x";"-";"";"";"";"";"";"D.n";"-";"di";"p";"Wi";"gH";"I";1;"";"";""
212;"Eurhynchium pulchellum";"M";"Eurhynchium";"pulchellum";"NISM";"1";"II";"";"";"2";"II";"Be Gf";"I";"3";"II";"x";"-";"";"";"";"";"";"D.n";"-";"di";"p";"Wi";"gH";"II";1;"";"";""
